index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote,de,en,la,added
3820978a1a0fc2578d11b5edf1d9a90f,2026-08-02T05:25:14Z,'Erdrutsch',kaernten.orf.at,de,0.9,Innerkrems: Umfahrung nach Erdrutsch,Die Innerkremser Straße (L19) ist am Sonntag zwischen Kremsbrücke und Innerkrems (Bezirk Spittal/Drau) gesperrt gewesen. Grund dafür ist ein Erdrutsch. Personen wurden nicht verletzt. Die Innerkrems ist während der Aufräumarbeiten über die Nockalmstraße und ü…,https://kaernten.orf.at/stories/3365229/,https://ibs.orf.at/ktn?image=https%3A%2F%2Foekastatic.orf.at%2Fmims%2F2026%2F32%2F87%2Fcrops%2Fw%3D1200%2Ch%3D627%2Cq%3D75%2F3135437_master_1215387_innerkrems2_polizei.jpg%3Fs%3Dc9b43a5eb9ddd0fa2828f0cce28793237d22aba8,,Am Samstagabend kam es im Gemeindegebiet von Krems in Kärnten aufgrund eines Unwetters zu mehreren Murenabgängen. Im Bereich zwischen Vorderkrems und Innerkrems wurde die Fahrbahn durch Erd- und Gerö… [+386 chars],,Innerkrems: Umfahrung nach Erdrutsch. Die Innerkremser Straße (L19) ist am Sonntag zwischen Kremsbrücke und Innerkrems (Bezirk Spittal/Drau) gesperrt gewesen. Grund dafür ist ein Erdrutsch. Personen wurden nicht verletzt. Die Innerkrems ist während der Aufräumarbeiten über die Nockalmstraße und ü…,"Innerkrems: bypass after landslide. Innerkremser Straße (L19) was closed on Sunday between Kremsbrücke and Innerkrems (Spittal/Drau district). The reason for this is a landslide. No one was injured. During the clean-up work, the Innerkrems is on Nockalmstrasse and above…","Innerkrems: bypass after landslide. Innerkremser Straße (L19) die Dominico inter Kremsbrücke et Innerkrems clausa est (Spittal/Drau regio). Causa huius est prolapsio. Nemo violatus est. In opere mundissimo, Innerkrems in Nockalmstrasse et supra…",2026-08-03 12:48:35+00:00
88280b07f472aa4f898cc022b70f6194,2026-08-04T06:50:08Z,'Schlammlawine',www.diepresse.com,de,0.9,Unwetter in Norditalien: Bäche traten in Cervinia über die Ufer,"Ein Campingplatz wurde vorsorglich geräumt, eine Schlammlawine erfasste einen Golfplatz. Das Unwetter folgt auf eine Phase außergewöhnlich hoher Temperaturen in der Region.",https://www.diepresse.com/40960166/unwetter-in-norditalien-baeche-traten-in-cervinia-ueber-die-ufer,https://www.diepresse.com/assets_v2/images/diepresse_nachrichten.png,http://web.archive.org/web/20260804174126/https://www.diepresse.com/40960166/unwetter-in-norditalien-baeche-traten-in-cervinia-ueber-die-ufer,"Die Presse auf Google als bevorzugte Nachrichtenquelle hinzufügen.
 Ein heftiges Unwetter hat am Montagabend den Wintersportort Breuil-Cervinia im italienischen Aostatal schwer getroffen. Innerhalb … [+1768 chars]",,"Unwetter in Norditalien: Bäche traten in Cervinia über die Ufer. Ein Campingplatz wurde vorsorglich geräumt, eine Schlammlawine erfasste einen Golfplatz. Das Unwetter folgt auf eine Phase außergewöhnlich hoher Temperaturen in der Region.",Storms in northern Italy: streams overflowed their banks in Cervinia. A campsite was evacuated as a precaution and a mudslide hit a golf course. The storm follows a period of exceptionally high temperatures in the region.,Procellae in Italia septentrionali: rivi in ​​Cervinia ripas suas inundaverunt. Campsite ad cautelam emissus est et cursum pilae fecit. Tempestas sequitur tempus eximiae temperaturae in regione.,2026-08-07 10:41:38+00:00
a02296f3a3a1c23d4ff34368d2622c08,2026-08-07T14:47:05Z,'Felsbrocken',tirol.orf.at,de,0.9,Felssturz in Längenfeld nahe Siedlung,"In Längenfeld im Ortsweiler Au ist es Freitagmittag zu einem größeren Felststurz gekommen. Videos zeigen Felsbrocken und Geröll, die durch steiles, bewaldetes Gebiet auf eine Weidefläche stürzen.",https://tirol.orf.at/stories/3366084/,https://ibs.orf.at/tir?image=https%3A%2F%2Foekastatic.orf.at%2Fmims%2F2026%2F32%2F98%2Fcrops%2Fw%3D1200%2Ch%3D627%2Cq%3D75%2F3141486_master_1217798_fels.jpg%3Fs%3Dbd7b663ebe2fd66a7ed5ca4a7dd905fb50e52a60,http://web.archive.org/web/20260809111540/https://tirol.orf.at/stories/3366084/,"Laut dem Bürgermeister von Längenfeld, Richard Grüner, sei der Vorfall glimpflich ausgegangen. Weder Personen noch Tiere wurden verletzt.
Auch eine nahegelegene Siedlung sei nicht getroffen worden. … [+166 chars]",,"Felssturz in Längenfeld nahe Siedlung. In Längenfeld im Ortsweiler Au ist es Freitagmittag zu einem größeren Felststurz gekommen. Videos zeigen Felsbrocken und Geröll, die durch steiles, bewaldetes Gebiet auf eine Weidefläche stürzen.","Rock fall in Längenfeld near settlement. In Längenfeld in the local hamlet of Au, a large rockslide occurred on Friday afternoon. Videos show boulders and boulders falling through steep, wooded areas into a pasture.","Lapis in Langenfeld prope Petram tare. Apud Langenfeld, in vico loci Au, magna saxa lapidosa die Veneris pomeridiana facta est. Vides saxa et saxa per ardua delapsa, saltuosa in pascua monstrant.",2026-08-10 06:06:04+00:00
ae03416542956c92fc504e52121fb687,2026-08-09T16:30:35Z,'Felssturz',tirol.orf.at,de,0.9,Nach Felssturz Abklärung am Montag,"Nach dem Felssturz in Längenfeld am Freitag soll am Montag das betroffene Gebiet aus der Luft genauer untersucht werden. Der Bereich ist als Gefahrenzone bekannt. Mittels Drohnenflügen will man abklären, ob weitere Felsen locker und Schutzmaßnahmen notwendig …",https://tirol.orf.at/stories/3366283/,https://ibs.orf.at/tir?image=https%3A%2F%2Foekastatic.orf.at%2Fmims%2F2026%2F33%2F63%2Fcrops%2Fw%3D1200%2Ch%3D627%2Cq%3D75%2F3143124_master_1218463_unbenannt-3.jpg%3Fs%3D14f90f292f7b845188c41d9514ead4af453d08e6,http://web.archive.org/web/20260809222451/https://tirol.orf.at/stories/3366283/,"Mehrere Tonnen Fels stürzten am Freitag über das steile, bewaldete Gelände talwärts. Auf einer Weidefläche kamen die Massen zum Stillstand. Laut dem Bürgermeister von Längenfeld, Richard Grüner, kam … [+1071 chars]",,"Nach Felssturz Abklärung am Montag. Nach dem Felssturz in Längenfeld am Freitag soll am Montag das betroffene Gebiet aus der Luft genauer untersucht werden. Der Bereich ist als Gefahrenzone bekannt. Mittels Drohnenflügen will man abklären, ob weitere Felsen locker und Schutzmaßnahmen notwendig …","After a rock fall clarification on Monday. After the rock fall in Längenfeld on Friday, the affected area will be examined more closely from the air on Monday. The area is known as a danger zone. The aim is to use drone flights to determine whether additional rocks are loose and whether protective measures are necessary...","Post petram elucidationem die Lunae cadunt. Post petram in Langenfeld die Veneris incidit, area affectata diligentius ex aere die Lunae inspicietur. Area nota est zona periculi. Propositum est volatus fuci uti statuere an saxa additamenta laxa sint et an mensurae tutelae necessariae sint.",2026-08-11 00:51:58+00:00
7e969eeb066ad6713f34cdc799d6b862,2026-08-10T09:43:16Z,'Felssturz',tirol.orf.at,de,0.9,Entwarnung nach Felssturz in Längenfeld,In Längenfeld haben die Geologen nach einem Felssturz am Freitag nahe einer Siedlung am Montag Entwarnung gegeben. Es müssen keine Sicherungsmaßnahmen durchgeführt werden. Die darunterliegende Siedlung sei weiterhin nicht bedroht. Nur der Wald habe Schaden ge…,https://tirol.orf.at/stories/3366338/,https://ibs.orf.at/tir?image=https%3A%2F%2Foekastatic.orf.at%2Fmims%2F2026%2F33%2F62%2Fcrops%2Fw%3D1200%2Ch%3D627%2Cq%3D75%2F3143128_master_1218462_unbenannt-2.jpg%3Fs%3Def87e74bd06f94f8273d214626b12005effd7d12,http://web.archive.org/web/20260810163822/https://tirol.orf.at/stories/3366338/,In Längenfeld haben die Geologen nach einem Felssturz am Freitag nahe einer Siedlung am Montag Entwarnung gegeben. Es müssen keine Sicherungsmaßnahmen durchgeführt werden. Die darunterliegende Siedlu… [+96 chars],,Entwarnung nach Felssturz in Längenfeld. In Längenfeld haben die Geologen nach einem Felssturz am Freitag nahe einer Siedlung am Montag Entwarnung gegeben. Es müssen keine Sicherungsmaßnahmen durchgeführt werden. Die darunterliegende Siedlung sei weiterhin nicht bedroht. Nur der Wald habe Schaden ge…,"All clear after a rock fall in Längenfeld. In Längenfeld, geologists gave the all-clear on Monday after a rock fall near a settlement on Friday. No security measures need to be taken. The settlement underneath is still not threatened. Only the forest was damaged...","Patet omnes post petram cadere in Langenfeld. In Langenfeld, geologi omnia clara die Lunae post rupem cadentem prope compositionem Veneris die dederunt. Nulla cautio accipienda est. Subest compositio adhuc non est intentata. Tantum silva laesa est...",2026-08-12 15:49:22+00:00
ee083a3984a0b264ce18e222aff72b83,2026-08-09T05:00:00Z,'Erdrutsch',www.brigitte.de,de,0.9,Wie ein Erdrutsch: Dieses Buch wird dein Selbst- und Weltverständnis für immer verändern,"Manche Bücher gleichen einem Erdrutsch, der Konstruktionen einstürzen lässt, die wir für unumstößlich hielten, und zum Vorschein bringen, was sich darunter verbarg. So wie ""The Overstory"" von Richard Powers.",https://www.brigitte.de/leben/wie-ein-erdrutsch--dieser-roman-wird-fuer-immer-veraendern--wie-du-die-welt-um-dich-herum-wahrnimmst-14097572.html,https://image.brigitte.de/14058488/t/uy/v3/w1440/r1.7778/-/overstory.jpg,http://web.archive.org/web/20260809081610/https://www.brigitte.de/leben/wie-ein-erdrutsch--dieser-roman-wird-fuer-immer-veraendern--wie-du-die-welt-um-dich-herum-wahrnimmst-14097572.html,"""Du und der Baum in deinem Garten stammt von einem gemeinsamen Vorfahren ab. Vor eineinhalb Milliarden Jahren haben sich eure Wege getrennt. Aber selbst heute, nach einer gewaltigen Reise in untersch… [+3967 chars]",,"Wie ein Erdrutsch: Dieses Buch wird dein Selbst- und Weltverständnis für immer verändern. Manche Bücher gleichen einem Erdrutsch, der Konstruktionen einstürzen lässt, die wir für unumstößlich hielten, und zum Vorschein bringen, was sich darunter verbarg. So wie ""The Overstory"" von Richard Powers.","Like a landslide: This book will change your understanding of yourself and the world forever. Some books are like a landslide, collapsing structures we thought were immutable and revealing what was hidden beneath. Like “The Overstory” by Richard Powers.","Sicut LAPSUS: Hic liber mutabit intellectum tuum de te et de mundo in aeternum. Nonnulli libri quasi prolapsi sunt, ruere structurae incommutabiles esse putavimus, et ea quae subter latebant patefacta sunt. Sicut ""The Overstory"" Richard Potestates.",2026-08-14 06:07:41+00:00
226f777557ce274703a095b2c8c35372,2026-08-10T05:22:29Z,'Erdrutsch',www.zeit.de,de,0.9,Taifun: Mehr als 400.000 Menschen vor Taifun in China in Sicherheit gebracht,Der Taifun Dolphin erhöht an Chinas Ostküste die Gefahr von Überschwemmungen und Erdrutschen. Hunderttausende Menschen mussten ihre Häuser verlassen.,https://www.zeit.de/gesellschaft/zeitgeschehen/2026-08/taifun-dolphin-china-evakuierungen-shanghai-zhejiang-fluege-gxe,https://img.zeit.de/gesellschaft/zeitgeschehen/2026-08/taifun-dolphin-china-evakuierungen-shanghai-zhejiang-fluege-foto-1/wide__1300x731,http://web.archive.org/web/20260810094113/https://www.zeit.de/gesellschaft/zeitgeschehen/2026-08/taifun-dolphin-china-evakuierungen-shanghai-zhejiang-fluege-gxe,Der Taifun Dolphin hat die Ostküste Chinas erreicht. Mehr als 400.000 Menschen mussten vor Eintreffen des Sturms vorsorglich ihre Häuser verlassen. An den Flughäfen Hongqiao und Pudong in Shanghai wu… [+1366 chars],,Taifun: Mehr als 400.000 Menschen vor Taifun in China in Sicherheit gebracht. Der Taifun Dolphin erhöht an Chinas Ostküste die Gefahr von Überschwemmungen und Erdrutschen. Hunderttausende Menschen mussten ihre Häuser verlassen.,"Typhoon: More than 400,000 people brought to safety from typhoon in China. Typhoon Dolphin increases the risk of flooding and landslides on China's east coast. Hundreds of thousands of people had to leave their homes.",Typhoon: Plus quam 400.000 homines e typhonibus in Sinis ad salutem perducuntur. Typhon Delphinus periculum auget inundationis et proruit in oram Sinarum orientalem. Centena millia hominum domos suas relinquere.,2026-08-14 06:07:41+00:00
f6fb6a154b798ba962f20fefe9449c89,2026-08-17T03:30:00Z,'Felssturz',salzburg.orf.at,de,0.9,Neue Steinschlagnetze am Kapuzinerberg,"Am Kapuzinerberg werden ab Montag neue Steinschlagschutznetze errichtet, dazu muss der Wanderweg zwischen dem Franziskischlössl und dem Schweizerhäusl immer wieder für Hubschrauberflüge gesperrt werden, wann die Hubschrauber fliegen, hängt vom Wetter ab.",https://salzburg.orf.at/stories/3367215/,https://ibs.orf.at/sbg?image=https%3A%2F%2Foekastatic.orf.at%2Fmims%2F2022%2F37%2F32%2Fcrops%2Fw%3D1200%2Ch%3D627%2Cq%3D75%2F1492173_master_541432__z7c2098.jpg%3Fs%3D6498a9dc2a18f02223ea6f939268deac8989b973,,"Zehn bis 32 neue Steinschlagnetze werden oberhalb der Schallmooser Hauptstraße errichtet, zudem werden Verankerungen in den felsigen Untergrund gebohrt. Die Arbeiten sind Teil eines viereinhalb Milli… [+835 chars]",,"Neue Steinschlagnetze am Kapuzinerberg. Am Kapuzinerberg werden ab Montag neue Steinschlagschutznetze errichtet, dazu muss der Wanderweg zwischen dem Franziskischlössl und dem Schweizerhäusl immer wieder für Hubschrauberflüge gesperrt werden, wann die Hubschrauber fliegen, hängt vom Wetter ab.","New rockfall nets on Kapuzinerberg. New rockfall protection nets will be installed on Kapuzinerberg from Monday, and the hiking trail between Franziskischlössl and Schweizerhäusl must be repeatedly closed to helicopter flights. When the helicopters fly depends on the weather.",Novae petrae retia in Kapuzinerberg. Novae scopuli tutelae retia in Kapuzinerberg a Lunae die instituentur et trahentium hikingum inter Franziskischlössl et Schweizerhäusl saepe claudentur volatus helicopteris. Cum helicopterae volant a tempestate pendent.,2026-08-19 10:18:26+00:00
d59eb263aa3d3f4aa60e0cf8fb414d28,2026-08-07T08:05:33Z,'Massenbewegung',www.diepresse.com,de,0.9,"Der nächste Ansturm auf Ceuta? ""Das Risiko ist real"" [premium]",In sozialen Netzwerken wird zu einer neuen Massenbewegung am 15. August aufgerufen. Spaniens Polizei wappnet sich.,https://www.diepresse.com/41155186/der-naechste-ansturm-auf-ceuta-das-risiko-ist-real,https://img.diepresse.com/public/incoming/poc25r-2026-08-06t184736z971501832rc23tma8tcwirtrmadp3migration-europe-spain-ceutajpg/alternates/WEBP_WIDE_1200/2026-08-06T184736Z_971501832_RC23TMA8TCWI_RTRMADP_3_MIGRATION-EUROPE-SPAIN-CEUTA.JPG,http://web.archive.org/web/20260807092157/https://www.diepresse.com/41155186/der-naechste-ansturm-auf-ceuta-das-risiko-ist-real,"In der spanischen Nordafrika-Exklave Ceuta geht seit einigen Tagen ein Datum um: der 15. August. Darüber sprechen Grenzpolizisten ebenso wie Cafébesitzer am Hafen oder freiwillige Helfer, die sich no… [+4059 chars]",,"Der nächste Ansturm auf Ceuta? ""Das Risiko ist real"" [premium]. In sozialen Netzwerken wird zu einer neuen Massenbewegung am 15. August aufgerufen. Spaniens Polizei wappnet sich.","The next rush to Ceuta? ""The risk is real"" [premium]. Social networks are calling for a new mass movement on August 15th. Spain's police are arming themselves.","Proximi ad Abylam ruunt? ""Periculum est verum"". Socialia retia vocant ad novam massam motus die 15 mensis Augusti. Vigiles Hispaniae se armant.",2026-08-23 05:19:34+00:00
5359d2f69f3c72b37cf0c46eab6b7518,2026-08-15T04:00:23Z,'Massenbewegung',www.zeit.de,de,0.9,Hitlerputsch 1923: Wie wehrhaft war Weimar? Hitlers Putsch und Aufstieg (2/2),1923 übersteht die erste deutsche Demokratie mehrere Umsturzversuche. Trotzdem steigt die NSDAP zur Massenbewegung auf. Wie gelang es ihr?,https://www.zeit.de/wissenschaft/2026-08/hitlerputsch-1923-nsdap-geschichte-podcast,https://img.zeit.de/wissenschaft/2026-08/politische-morde-weimarer-republik-geschichte-podcast-bild-2/wide__1300x731,http://web.archive.org/web/20260815232734/https://www.zeit.de/wissenschaft/2026-08/hitlerputsch-1923-nsdap-geschichte-podcast,"NSDAP-Mitglied Heinrich Himmler (Mitte), eine Fahne haltend, mit einer Gruppe nationalsozialistischer paramilitärischer Kämpfer während des Hitler-Ludendorff-Putsches, München, 9. November 1923.© Thr… [+3428 chars]",,Hitlerputsch 1923: Wie wehrhaft war Weimar? Hitlers Putsch und Aufstieg (2/2). 1923 übersteht die erste deutsche Demokratie mehrere Umsturzversuche. Trotzdem steigt die NSDAP zur Massenbewegung auf. Wie gelang es ihr?,"Hitler Putsch 1923: How well defended was Weimar? Hitler's Putsch and Rise (2/2). In 1923, the first German democracy survived several attempted coups. Nevertheless, the NSDAP rose to become a mass movement. How did she manage it?","Hitler Putsch 1923: Quomodo bene defendebatur Weimar? Hitler's Putsch et Surge (2/2). Anno MCMXXIII, prima democratia Germanica complures superfuerunt conatus. Nihilominus, NSDAP rosa motus massae factus est. Quomodo administrare?",2026-08-23 05:19:34+00:00
