keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Gletscherabbruch',de,Hazard,#5282c5,#e64128,1,0.2751396662905384
'Lawine',de,Hazard,#4287f5,#c4b03b,3,0.2575071369414691
'Felsbrocken',de,Hazard,#5282c5,#d64118,1,0.1546872721314874
'Neuschnee Lawine',de,Causes,#9e3215,#638ed4,1,0.14328695623342297
'Schlammlawine',de,Hazard,#4287f5,#802d16,2,0.133108869471083
'Permafrost Gebirge',de,Causes,#9e3215,#477515,1,0.1268991170257372
'Felssturz',de,Hazard,#4287f5,#77731f,1,0.0943161923996878
'Massenbewegung',de,Hazard,#4287f5,#a89216,1,0.092989134204606
'Erdrutsch Zerstörung',de,Impacts,#802d16,#4248f4,1,0.0886545801744594
'Erdrutsch',de,Hazard,#4287f5,#022f78,2,0.0880943075052201
'Lawine Tod',de,Impacts,#802d16,#4287f5,1,0.0863748005703301
'Steinschlag',de,Hazard,#4287f5,#d64118,2,0.0765431678587494
'Starkregen Hang',de,Causes,#9e3215,#802d16,1,0.0605643824847988
'Steinschlag Zaun',de,Adaptation,#4257f5,#802d16,1,0.060190961539702
'Lawine Zerstörung',de,Impacts,#802d16,#4257f4,1,0.0517859774455342
'Frostsprengung',de,Causes,#9e3215,#9e3215,1,0.0477313466395607
'Tauwetter Rutschung',de,Causes,#4287f5,#315fa8,1,0.0375503263213304
